file_beginning,abs_red,abs_green,abs_blue,scat_red,scat_green,scat_blue
FIREXAQ-LARGE-OPTICAL_DC8_,660,532,470,700,550,450
DC3-LARGE-ABS_DC8_,660,532,470,-1,-1,-1
